item_id,timestamp,target_value
1,1985-01-01,72.5052
1,1985-02-01,70.672
1,1985-03-01,62.4502
1,1985-04-01,57.4714
1,1985-05-01,55.3151
1,1985-06-01,58.0904
1,1985-07-01,62.6202
1,1985-08-01,63.2485
1,1985-09-01,60.5846
1,1985-10-01,56.3154
1,1985-11-01,58.0005
1,1985-12-01,68.7145
1,1986-01-01,73.3057
1,1986-02-01,67.9869
1,1986-03-01,62.2221
1,1986-04-01,57.0329
1,1986-05-01,55.8137
1,1986-06-01,59.9005
1,1986-07-01,65.7655
1,1986-08-01,64.4816
1,1986-09-01,61.0005
1,1986-10-01,57.5322
1,1986-11-01,59.3417
1,1986-12-01,68.1354
1,1987-01-01,73.8152
1,1987-02-01,70.062
1,1987-03-01,65.61
1,1987-04-01,60.1586
1,1987-05-01,58.8734
1,1987-06-01,63.8918
1,1987-07-01,68.8694
1,1987-08-01,70.0669
1,1987-09-01,64.1151
1,1987-10-01,60.3789
1,1987-11-01,62.4643
1,1987-12-01,70.5777
1,1988-01-01,79.8703
1,1988-02-01,76.1622
1,1988-03-01,70.2928
1,1988-04-01,63.2384
1,1988-05-01,61.4065
1,1988-06-01,67.1097
1,1988-07-01,72.9816
1,1988-08-01,75.7655
1,1988-09-01,67.5152
1,1988-10-01,63.2832
1,1988-11-01,65.1078
1,1988-12-01,73.8631
1,1989-01-01,77.9188
1,1989-02-01,76.6822
1,1989-03-01,73.3523
1,1989-04-01,65.1081
1,1989-05-01,63.6892
1,1989-06-01,68.4722
1,1989-07-01,74.0301
1,1989-08-01,75.0448
1,1989-09-01,69.3053
1,1989-10-01,65.8735
1,1989-11-01,69.0706
1,1989-12-01,84.1949
1,1990-01-01,84.3598
1,1990-02-01,77.1726
1,1990-03-01,73.1964
1,1990-04-01,67.2781
1,1990-05-01,65.8218
1,1990-06-01,71.4654
1,1990-07-01,76.614
1,1990-08-01,77.1052
1,1990-09-01,73.061
1,1990-10-01,67.4365
1,1990-11-01,68.5665
1,1990-12-01,77.6839
1,1991-01-01,86.0214
1,1991-02-01,77.5573
1,1991-03-01,73.365
1,1991-04-01,67.15
1,1991-05-01,68.8162
1,1991-06-01,74.8448
1,1991-07-01,80.0928
1,1991-08-01,79.1606
1,1991-09-01,73.5743
1,1991-10-01,68.7538
1,1991-11-01,72.5166
1,1991-12-01,79.4894
1,1992-01-01,85.2855
1,1992-02-01,80.1643
1,1992-03-01,74.5275
1,1992-04-01,69.6441
1,1992-05-01,67.1784
1,1992-06-01,71.2078
1,1992-07-01,77.5081
1,1992-08-01,76.5374
1,1992-09-01,72.3541
1,1992-10-01,69.0286
1,1992-11-01,73.4992
1,1992-12-01,84.5159
1,1993-01-01,87.9464
1,1993-02-01,84.5561
1,1993-03-01,79.4747
1,1993-04-01,71.0578
1,1993-05-01,67.6762
1,1993-06-01,74.3297
1,1993-07-01,82.1048
1,1993-08-01,82.0605
1,1993-09-01,74.6031
1,1993-10-01,69.681
1,1993-11-01,74.4292
1,1993-12-01,84.2284
1,1994-01-01,94.1386
1,1994-02-01,87.1607
1,1994-03-01,79.2456
1,1994-04-01,70.9749
1,1994-05-01,69.3844
1,1994-06-01,77.9831
1,1994-07-01,83.277
1,1994-08-01,81.8872
1,1994-09-01,75.6826
1,1994-10-01,71.2661
1,1994-11-01,75.2458
1,1994-12-01,84.8147
1,1995-01-01,92.4532
1,1995-02-01,87.4033
1,1995-03-01,81.2661
1,1995-04-01,73.8167
1,1995-05-01,73.2682
1,1995-06-01,78.3026
1,1995-07-01,85.9841
1,1995-08-01,89.5467
1,1995-09-01,78.5035
1,1995-10-01,73.7066
1,1995-11-01,79.6543
1,1995-12-01,90.8251
1,1996-01-01,98.9732
1,1996-02-01,92.8883
1,1996-03-01,86.9356
1,1996-04-01,77.2214
1,1996-05-01,76.6826
1,1996-06-01,81.9306
1,1996-07-01,85.9606
1,1996-08-01,86.5562
1,1996-09-01,79.1919
1,1996-10-01,74.6891
1,1996-11-01,81.074
1,1996-12-01,90.4855
1,1997-01-01,98.4613
1,1997-02-01,89.7795
1,1997-03-01,83.0125
1,1997-04-01,76.1476
1,1997-05-01,73.8471
1,1997-06-01,79.7645
1,1997-07-01,88.4519
1,1997-08-01,87.7828
1,1997-09-01,81.9386
1,1997-10-01,77.5027
1,1997-11-01,82.0448
1,1997-12-01,92.101
1,1998-01-01,94.792
1,1998-02-01,87.82
1,1998-03-01,86.5549
1,1998-04-01,76.7521
1,1998-05-01,78.0303
1,1998-06-01,86.4579
1,1998-07-01,93.8379
1,1998-08-01,93.531
1,1998-09-01,87.5414
1,1998-10-01,80.0924
1,1998-11-01,81.4349
1,1998-12-01,91.6841
1,1999-01-01,102.1348
1,1999-02-01,91.1829
1,1999-03-01,90.7381
1,1999-04-01,80.5176
1,1999-05-01,79.3887
1,1999-06-01,87.8431
1,1999-07-01,97.4903
1,1999-08-01,96.4157
1,1999-09-01,87.2248
1,1999-10-01,80.6409
1,1999-11-01,82.2025
1,1999-12-01,94.5113
1,2000-01-01,102.2301
1,2000-02-01,94.2989
1,2000-03-01,88.0927
1,2000-04-01,81.4425
1,2000-05-01,84.4552
